OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,REGION,OS_ID,GDB_GEOMATTR_DATA
65,Temple Ohabei Shalom Cemetery,Private, ,4,East Boston,2.33966592, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , , ,INFO_Reallocation From Dept,7011,
66,Cuneo Park,City of Boston,A97,3,East Boston,0.23069055, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Saratoga St. Play Area, ,PARK_Maintenance_Region 1,074,
67,Bennington Street Cemetery,City of Boston,Ch114S7/A97,4,East Boston,3.59002599,Opposite 490 Bennington Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,A, , ,PARK_Cemetery Maintenance Request,022,
68,American Legion Playground,City of Boston,A97/LWCF/UPARR/PARC,3,East Boston,3.3805977,24 Glendon Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,009,
69,Prescott Square,City of Boston,A97,1,East Boston,0.27470857,Between Trenton and Eagle St.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,245,
70,Putnam Square,City of Boston,A97,1,East Boston,0.26683758, ,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,249,
71,Paris Street Playground,City of Boston,A97,3,East Boston,1.28144947,121 Paris Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,226,
72,Brophy Park,City of Boston,A97/LWCF,3,East Boston,0.78252588,Opposite 195 Webster Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Belmont Square, ,PARK_Maintenance_Region 1,033,
73,Sumner & Lamson Street Playground,City of Boston,A97,3,East Boston,0.47865985,Opposite 492 Sumner Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,296,
74,Condor Street Beach I,City of Boston,A97/LWCF/Ch91/WPA/AUL,6,East Boston,2.74385229,300 Condor St.,Open Space District,Urban Wilds,BCC,BPRD,X,X, , ,PARK_Maintenance_Region 1,1001,
75,East Boston Greenway,City of Boston,A97/WPA,2,East Boston,3.50179329,144 Marginal Str.,Residential District,"Parkways, Reservations & Beaches",BPRD,BPRD,X,X,Mary Ellen Welch Greenway,BPRD,PARK_Maintenance_Region 1,097,
76,Symphony Community Park,City of Boston,A97,3,Fenway/Longwood,0.47762031,Edgerly Road btwn Norway and Burbank Sts.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Morville Park, ,PARK_Maintenance_Region 3,298,
