School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Chicopee - Chicopee Academy,610021,76,24.0,31.6,28.6,35.3,15.4,,2015-16
Chicopee - Chicopee Comprehensive High School,610510,"1,475",44.0,3.0,0.2,2.8,2.8,6.7,2015-16
Chicopee - Chicopee High,610505,958,28.0,2.9,0.0,2.7,4.3,4.0,2015-16
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,4370505,284,4.0,1.4,3.7,0.0,0.0,0.0,2015-16
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,35040505,243,3.0,1.2,0.8,1.5,2.1,,2015-16
City on a Hill Charter Public School New Bedford (District) - City on a Hill Charter Public School New Bedford,35070505,140,7.0,5.0,4.9,5.3,,,2015-16
Clinton - Clinton Senior High,640505,434,2.0,0.5,0.0,1.7,0.0,0.0,2015-16
Codman Academy Charter Public (District) - Codman Academy Charter Public School,4380505,147,4.0,2.7,1.9,7.1,0.0,0.0,2015-16
Cohasset - Cohasset Middle/High School,650505,424,1.0,0.2,0.8,0.0,0.0,0.0,2015-16
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,4360305,233,1.0,0.4,0.0,0.0,0.0,1.8,2015-16
Concord-Carlisle - Concord Carlisle High,6400505,"1,289",0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Danvers - Danvers High,710505,"1,015",16.0,1.6,0.4,0.0,0.4,5.3,2015-16
Dartmouth - Dartmouth High,720505,"1,071",9.0,0.8,0.4,0.7,0.4,2.0,2015-16
Dedham - Dedham High,730505,718,3.0,0.4,1.1,0.6,0.0,0.0,2015-16
Dennis-Yarmouth - Dennis-Yarmouth Regional High,6450505,786,22.0,2.8,2.3,3.1,3.8,2.1,2015-16
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,6500505,854,7.0,0.8,1.4,0.0,0.5,1.4,2015-16
Douglas - Douglas High School,770505,403,5.0,1.2,0.0,2.2,0.9,2.1,2015-16
Dover-Sherborn - Dover-Sherborn Regional High,6550505,662,1.0,0.2,0.0,0.0,0.0,0.6,2015-16
Dracut - Dracut Senior High,790505,837,7.0,0.8,0.5,1.0,0.5,1.3,2015-16
Dudley-Charlton Reg - Shepherd Hill Regional High,6580505,"1,147",10.0,0.9,0.4,0.7,0.6,2.0,2015-16
Duxbury - Duxbury High,820505,"1,092",3.0,0.3,0.0,0.0,0.4,0.8,2015-16
East Bridgewater - East Bridgewater JR./SR. High School,830505,639,9.0,1.4,1.4,1.2,1.1,2.1,2015-16
East Longmeadow - East Longmeadow High,870505,860,1.0,0.1,0.0,0.0,0.4,0.0,2015-16
Easthampton - Easthampton High,860505,450,5.0,1.1,0.8,1.9,0.0,1.9,2015-16
Easton - Oliver Ames High,880505,"1,189",0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers,4520505,341,4.0,1.2,0.0,1.1,2.2,1.5,2015-16
Essex North Shore Agricultural and Technical School District - Essex Technical High School,8170505,"1,219",4.0,0.3,0.0,0.3,0.7,0.4,2015-16
Everett - Devens School,930030,23,7.0,30.4,20.0,28.6,,,2015-16
Everett - Everett High,930505,"2,047",73.0,3.6,3.4,4.7,4.1,1.6,2015-16
Excel Academy Charter (District) - Excel Academy Charter School,4100205,115,0.0,0.0,0.0,,,,2015-16
Fairhaven - Fairhaven High,940505,632,11.0,1.7,1.9,4.5,0.7,0.0,2015-16
