School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Whittier Regional Vocational Technical - Whittier Reg Voc,8850605,"1,091",6.0,0.5,0.0,0.7,1.2,0.4,2007-08
Wilmington - Wilmington High,3420505,"1,001",13.0,1.3,0.4,0.8,0.8,3.1,2007-08
Winchendon - Murdock Middle/High,3430505,413,24.0,5.8,7.9,7.5,4.3,2.4,2007-08
Winchester - Winchester High School,3440505,"1,101",5.0,0.5,0.4,0.4,0.4,0.7,2007-08
Winthrop - Winthrop Sr High,3460505,542,13.0,2.4,2.9,2.9,0.8,3.1,2007-08
Woburn - Woburn High,3470505,"1,431",45.0,3.1,2.4,2.2,3.3,4.8,2007-08
Worcester - Burncoat Senior High,3480503,"1,283",102.0,8.0,6.3,9.6,9.5,7.0,2007-08
Worcester - Claremont Academy,3480350,217,7.0,3.2,2.8,3.3,4.5,2.4,2007-08
Worcester - Doherty Memorial High,3480512,"1,511",44.0,2.9,2.9,1.6,4.1,2.9,2007-08
Worcester - North High,3480515,"1,139",70.0,6.1,4.3,9.8,5.6,6.0,2007-08
Worcester - South High Community,3480520,"1,397",76.0,5.4,3.6,7.0,5.5,5.8,2007-08
Worcester - University Pk Campus Sch,3480285,143,2.0,1.4,0.0,0.0,2.5,2.9,2007-08
Worcester - Worcester Technical High,3480605,"1,268",16.0,1.3,0.0,1.5,3.1,0.8,2007-08
